Zip,Population,County,State,WiredCount_2020,Fwcount_2020,BroadbandProviderCount,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan
30458,41139.00,Bulloch,Georgia,6,0,6,12,5,5,7,5,25122,62.26,127.27,1.00,50
30460,427.00,Bulloch,Georgia,2,0,2,8,2,2,4,2,854,50.11,113.81,1.00,59.95
30461,13390.00,Bulloch,Georgia,6,0,6,12,5,5,7,6,2767,63.94,105.63,1.00,50
36029,723.00,Bullock,Alabama,5,0,5,10,2,1,4,1,85,29.4,49.37,0.66,71.95
36053,1967.00,Bullock,Alabama,2,1,3,7,1,0,3,0,7,8.99,39.49,0.78,NULL
36089,8760.00,Bullock,Alabama,6,1,7,12,2,1,4,1,1154,32.18,73.45,0.91,71.95
28810,NULL,Buncombe,North Carolina,,,0,,,,,,,,,,
28701,3635.00,Buncombe,North Carolina,6,1,7,12,5,5,7,6,335,59.18,197.45,0.99,35
28704,18821.00,Buncombe,North Carolina,7,1,8,13,7,7,10,9,5972,80.46,209.2,1.00,35
28709,2225.00,Buncombe,North Carolina,3,0,3,8,2,2,4,3,1154,71.42,112.97,1.00,69.99
28711,13209.00,Buncombe,North Carolina,6,2,8,13,5,5,8,6,7621,63.94,167.34,0.95,35
28715,24582.00,Buncombe,North Carolina,5,1,6,11,5,5,8,7,21381,99.45,260.93,1.00,35
28730,9133.00,Buncombe,North Carolina,5,2,7,12,5,5,8,7,2069,38.21,145.87,0.99,35
28748,11334.00,Buncombe,North Carolina,3,1,4,9,3,1,6,3,2561,24.56,66.13,0.97,55
28778,10381.00,Buncombe,North Carolina,5,1,6,11,5,5,7,6,4647,84.58,144.26,1.00,35
28787,19718.00,Buncombe,North Carolina,6,1,7,12,3,2,6,4,23404,63.69,186.44,1.00,49.95
28801,15019.00,Buncombe,North Carolina,6,1,7,12,6,6,9,8,25403,88.89,224.82,1.00,35
28803,28693.00,Buncombe,North Carolina,5,1,6,11,5,5,8,7,23348,76.4,211.29,1.00,35
28804,20507.00,Buncombe,North Carolina,7,1,8,13,5,5,8,7,11639,80.31,211.46,1.00,35
28805,17620.00,Buncombe,North Carolina,6,1,7,12,6,6,9,8,8260,99.45,218.73,1.00,35
28806,38550.00,Buncombe,North Carolina,5,1,6,11,5,5,8,6,22304,78.08,190.47,1.00,35
30426,1100.00,Burke,Georgia,3,1,4,9,1,1,3,2,254,6.46,15.23,0.08,NULL
30456,2119.00,Burke,Georgia,5,1,6,10,2,2,4,3,5,22.63,50.04,0.53,79.99
30816,2109.00,Burke,Georgia,4,1,5,10,2,2,4,3,3,0.74,0.98,0.44,79.99
30830,13966.00,Burke,Georgia,4,1,5,10,2,2,4,3,2080,44.99,141.92,0.83,79.99
28612,12397.00,Burke,North Carolina,7,3,10,15,7,6,10,7,610,70.07,182.45,0.98,55
28637,1746.00,Burke,North Carolina,2,2,4,9,2,1,5,2,0,0,0,1.00,69.99
28655,54996.00,Burke,North Carolina,9,3,12,17,8,8,12,10,16430,63.56,181.81,0.98,35
28690,9295.00,Burke,North Carolina,6,2,8,13,6,5,9,6,1412,59.7,183.4,1.00,35
36030,491.00,Butler,Alabama,3,0,3,7,2,1,4,1,,,,1.00,
36456,1820.00,Butler,Alabama,3,0,3,8,2,1,4,1,,,,0.35,29.99
36033,4299.00,Butler,Alabama,4,0,4,9,3,2,5,2,11,32.69,102.91,0.55,69.99
36037,14074.00,Butler,Alabama,6,0,6,11,5,4,7,4,2750,33.72,75.02,0.90,65
42219,NULL,Butler,Kentucky,,,0,,,,,,,,,,
42252,NULL,Butler,Kentucky,,,0,,,,,,,,,,
42275,883.00,Butler,Kentucky,1,2,3,8,1,1,3,1,,,,0.64,
42287,NULL,Butler,Kentucky,,,0,,,,,,,,,,
42261,10602.00,Butler,Kentucky,8,4,12,17,4,4,6,4,604,46.72,147.64,0.60,69.95
42273,443.00,Butler,Kentucky,2,1,3,8,1,1,3,1,88,27.14,53.95,0.69,69.95
45025,NULL,Butler,Ohio,,,0,,,,,,,,,,
45026,NULL,Butler,Ohio,,,0,,,,,,,,,,
45043,NULL,Butler,Ohio,,,0,,,,,,,,,,
45011,69677.00,Butler,Ohio,6,2,8,14,5,3,8,3,22102,104.79,273.26,1.00,39.99
45013,52613.00,Butler,Ohio,6,2,8,14,3,2,6,2,14126,87.67,244.05,1.00,39.99
